premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,ollama_category,business_type_final,is_chain
ALEXANDER MICHAELS,401 W NINTH ST,Charlotte,NC,,ALEXANDER MICHAELS,,other,other,other,0
ALL AMERICAN PUB,200 E BLAND ST,Charlotte,NC,,ALL AMERICAN PUB,,bar,,bar,0
ALLY EXCHANGE COFFEE BAR,601 S TRYON ST,Charlotte,NC,,ALLY EXCHANGE COFFEE BAR,,coffee_shop,,coffee_shop,0
ALOFT CHARLOTTE AIRPORT,3928 MEMORIAL PY,Charlotte,NC,,ALOFT CHARLOTTE AIRPORT,,other,institutional,institutional,0
ALOFT CHARLOTTE BALLANTYNE,13139 BALLANTYNE CORPORATE PL,Charlotte,NC,,ALOFT CHARLOTTE BALLANTYNE,,other,institutional,institutional,0
AMAZING WOK,16049 JOHNSTON RD,Charlotte,NC,,AMAZING WOK,,asian_chinese,,asian_chinese,0
AMC CAROLINA PAVILION 22,9541 SOUTH BV,Charlotte,NC,,AMC CAROLINA PAVILION,,other,institutional,institutional,0
AMC THEATERS 14 NORTHLAKE,7325 NORTHLAKE MALL DR,Charlotte,NC,,AMC THEATERS NORTHLAKE,,other,institutional,institutional,0
AMELIE'S FRENCH BAKERY AND CAFE,301 S COLLEGE ST,Charlotte,NC,,AMELIE S FRENCH BAKERY AND CAFE,,coffee_shop,,coffee_shop,0
AMELIE'S FRENCH BAKERY AND CAFE,7715 PINEVILLE-MATTHEWS RD,Charlotte,NC,,AMELIE S FRENCH BAKERY AND CAFE,,coffee_shop,,coffee_shop,0
AMELIES FRENCH BAKERY AND CAFE NODA,136 E 36TH ST,Charlotte,NC,,AMELIES FRENCH BAKERY AND CAFE NODA,,coffee_shop,,coffee_shop,0
AMELIES PARK RD,4321 PARK RD,Charlotte,NC,,AMELIES PARK RD,,other,other,other,0
AMERICAN AIRLINES TRAINING CENTER,4800 HANGAR RD,Charlotte,NC,,AMERICAN AIRLINES TRAINING CENTER,,other,institutional,institutional,0
AMERICAN DELI #3,5401 SOUTH BV,Charlotte,NC,,AMERICAN DELI,,fast_food_sandwich,,fast_food_sandwich,0
AMERICAN DELI #4,3126 MILTON RD,Charlotte,NC,,AMERICAN DELI,,fast_food_sandwich,,fast_food_sandwich,0
AMERICAN DELI AT MALLARD CREEK,2706 W MALLARD CREEK CHURCH RD,Charlotte,NC,,AMERICAN DELI AT MALLARD CREEK,,fast_food_sandwich,,fast_food_sandwich,0
AMERICAN DELI EASTWAY,3124 EASTWAY DR,Charlotte,NC,,AMERICAN DELI EASTWAY,,fast_food_sandwich,,fast_food_sandwich,0
AMERICAN DELI-INDEPENDENCE,7309 E INDEPENDENCE BV,Charlotte,NC,,AMERICAN DELI-INDEPENDENCE,,fast_food_sandwich,,fast_food_sandwich,0
AMERICAN DELI,2004 BEATTIES FORD RD,Charlotte,NC,,AMERICAN DELI,,fast_food_sandwich,,fast_food_sandwich,0
AMERICAN DELI,3210 WILKINSON BV,Charlotte,NC,,AMERICAN DELI,,fast_food_sandwich,,fast_food_sandwich,0
AMERICAN DELI,5430 N TRYON ST,Charlotte,NC,,AMERICAN DELI,,fast_food_sandwich,,fast_food_sandwich,0
AMERICAN DELI,5700 UNIVERSITY POINTE BV,Charlotte,NC,,AMERICAN DELI,,fast_food_sandwich,,fast_food_sandwich,0
AMERICAN DELI,9100 S TRYON ST,Charlotte,NC,,AMERICAN DELI,,fast_food_sandwich,,fast_food_sandwich,0
AMERICAN EXPRESS CENTURION LOUNGE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,AMERICAN EXPRESS CENTURION LOUNGE,,other,other,other,0
AMERICANA RESTAURANT,1628 MATTHEWS-MINT HILL RD,Charlotte,NC,,AMERICANA RESTAURANT,,full_service,,full_service,0
AMERICAS BEST WINGS,9630 UNIVERSITY CITY BV,Charlotte,NC,,AMERICAS BEST WINGS,,fast_food_chicken,,fast_food_chicken,0
AMF UNIVERSITY LANES,5900 N TRYON ST,Charlotte,NC,,AMF UNIVERSITY LANES,,other,institutional,institutional,0
ANDERSON'S RESTAURANT,1617 ELIZABETH AV,Charlotte,NC,,ANDERSON S RESTAURANT,,full_service,,full_service,0
ANGELA'S PIZZA & RESTAURANT,9705 MINTWORTH AV,Charlotte,NC,,ANGELA S PIZZA & RESTAURANT,,pizza,,pizza,0
ANGELA'S RESTAURANT,5524 SOUTH BV,Charlotte,NC,,ANGELA S RESTAURANT,,full_service,,full_service,0
ANGELINES & CATERING,303 S CHURCH ST,Charlotte,NC,,ANGELINES & CATERING,,other,other,other,0
ANGIES DINER,3658 BEATTIES FORD RD,Charlotte,NC,,ANGIES DINER,,full_service,,full_service,0
ANGRY ALES,1518 MONTFORD DR,Charlotte,NC,,ANGRY ALES,,other,bar,bar,0
ANITA'S MEXICAN GRILL,2904 YORKMONT RD,Charlotte,NC,,ANITA S MEXICAN GRILL,,mexican,,mexican,0
ANJEHS AFRICAN & CARIBBEAN CUISINE,6434 W SUGAR CREEK RD,Charlotte,NC,,ANJEHS AFRICAN & CARIBBEAN CUISINE,,other,other,other,0
ANJU KOREAN DINING & BAR,1600 E WOODLAWN RD,Charlotte,NC,,ANJU KOREAN DINING & BAR,,bar,,bar,0
ANOTHER BROKEN EGG CAFE,11324 N COMMUNITY HOUSE RD,Charlotte,NC,,ANOTHER BROKEN EGG CAFE,,coffee_shop,,coffee_shop,0
ANTICO ITALIAN RESTAURANT,9719 SAM FURR RD,Charlotte,NC,,ANTICO ITALIAN RESTAURANT,,full_service,,full_service,0
ANTOJITOS CATRACHOS,6404 ALBEMARLE RD,Charlotte,NC,,ANTOJITOS CATRACHOS,,other,fast_food_mexican,fast_food_mexican,0
ANTOJITOS LATINOS DELI,8300 BELLHAVEN BV,Charlotte,NC,,ANTOJITOS LATINOS DELI,,fast_food_sandwich,,fast_food_sandwich,0
ANTOJOS LOCOS,5534 ALBEMARLE RD,Charlotte,NC,,ANTOJOS LOCOS,,other,fast_food_mexican,fast_food_mexican,0
APPLEBEE'S #1096,10921 CAROLINA PLACE PY,Charlotte,NC,,APPLEBEE S,,other,fast_food_chicken,fast_food_chicken,0
APPLEBEE'S GRILL & BAR #1102,8700 J W CLAY BV,Charlotte,NC,,APPLEBEE S GRILL & BAR,,bar,,bar,0
APPLEBEES #1095,9616 E INDEPENDENCE BV,Charlotte,NC,,APPLEBEES,,other,fast_food_burger,fast_food_burger,0
AQUA E VINO,4219 PROVIDENCE RD,Charlotte,NC,,AQUA E VINO,,other,other,other,0
ARAMARK AT CORNING CHARLOTTE,4200 CORNING PL,Charlotte,NC,,ARAMARK AT CORNING CHARLOTTE,,other,other,other,0
ARBOL EATERY,227 W TRADE ST,Charlotte,NC,,ARBOL EATERY,,other,other,other,0
ARBY'S #5527,597 N POLK ST,Charlotte,NC,,ARBY S,,other,fast_food_burger,fast_food_burger,0
ARBY'S #8798,5226 E INDEPENDENCE BV,Charlotte,NC,,ARBY S,,other,fast_food_burger,fast_food_burger,0
ARBY'S RESTAURANT #8132,8640 RACHEL FREEMAN WY,Charlotte,NC,,ARBY S RESTAURANT,,full_service,,full_service,0
ARBYS #8076 REA FARMS,9923 SANDY ROCK PL,Charlotte,NC,,ARBYS REA FARMS,,other,fast_food_burger,fast_food_burger,0
ARBYS #8573,18240 STATESVILLE RD,Charlotte,NC,,ARBYS,,other,fast_food_burger,fast_food_burger,0
ARBYS #8718,12936 ALBEMARLE RD,Charlotte,NC,,ARBYS,,other,fast_food_burger,fast_food_burger,0
ARBY`S #7023,7008 W W T HARRIS BV,Charlotte,NC,,ARBY S,,other,fast_food_burger,fast_food_burger,0
ARIA TUSCAN GRILL,100 N TRYON ST,Charlotte,NC,,ARIA TUSCAN GRILL,,full_service,,full_service,0
AROMAS DE MI PUEBLO,9107 S TRYON ST,Charlotte,NC,,AROMAS DE MI PUEBLO,,other,mexican,mexican,0
AROOJI`S WINE ROOM,5349 BALLANTYNE COMMONS PY,Charlotte,NC,,AROOJI S WINE ROOM,,other,other,other,0
AROY THAI / SUSHI MACHI,5301 E INDEPENDENCE BV,Charlotte,NC,,AROY THAI / SUSHI MACHI,,asian_japanese,,asian_japanese,0
ARTHUR'S/SOUTHPARK,4400 SHARON RD,Charlotte,NC,,ARTHUR S/SOUTHPARK,,other,fast_food_burger,fast_food_burger,0
ASAHI SUSHI,10920 WINDS CROSSING DR,Charlotte,NC,,ASAHI SUSHI,,asian_japanese,,asian_japanese,0
"ASBURY, THE",235 N TRYON ST,Charlotte,NC,,ASBURY,,other,bar,bar,0
ASIAN 1,16646 HAWFIELD WAY DR,Charlotte,NC,,ASIAN,,other,asian_other,asian_other,0
ASIAN GARDEN,2925 E W T HARRIS BV,Charlotte,NC,,ASIAN GARDEN,,other,asian_chinese,asian_chinese,0
ASIAN MARKET DELI,4430 THE PLAZA,Charlotte,NC,,ASIAN MARKET DELI,,fast_food_sandwich,,fast_food_sandwich,0
ASIAN WOK,10715 PARK RD,Charlotte,NC,,ASIAN WOK,,asian_chinese,,asian_chinese,0
ATRIUM HEALTH BEHAVIORAL HEALTH CHARLOTTE,501 BILLINGSLEY RD,Charlotte,NC,,ATRIUM HEALTH BEHAVIORAL HEALTH CHARLOTTE,,other,other,other,0
ATRIUM HEALTH CAROLINAS REHAB - MARKET COFFEE,1100 BLYTHE BV,Charlotte,NC,,ATRIUM HEALTH CAROLINAS REHAB - MARKET COFFEE,,coffee_shop,,coffee_shop,0
ATRIUM HEALTH PINEVILLE,10628 PARK RD,Charlotte,NC,,ATRIUM HEALTH PINEVILLE,,other,institutional,institutional,0
ATRIUM HEALTH UNIVERSITY,8800 N TRYON ST,Charlotte,NC,,ATRIUM HEALTH UNIVERSITY,,other,institutional,institutional,0
ATRIUM PINEVILLE REHABILITATION,10648 PARK RD,Charlotte,NC,,ATRIUM PINEVILLE REHABILITATION,,other,institutional,institutional,0
AUNTIE ANNES & CINNABON,5506 NEW FASHION WY,Charlotte,NC,,AUNTIE ANNES & CINNABON,,other,bakery_cafe,bakery_cafe,0
AUNTIE ANNES UNCC,9201 UNIVERSITY CITY BV,Charlotte,NC,,AUNTIE ANNES UNCC,,other,fast_food_burger,fast_food_burger,0
AZTECA MEXICAN RESTAURANT,116 E WOODLAWN RD,Charlotte,NC,,AZTECA MEXICAN RESTAURANT,,mexican,,mexican,0
AZTECA RESTAURANT,7340 SMITH CORNERS BV,Charlotte,NC,,AZTECA RESTAURANT,,full_service,,full_service,0
AZTECA RESTAURANT,9709 E INDEPENDENCE BV,Charlotte,NC,,AZTECA RESTAURANT,,full_service,,full_service,0
AZUCAR CUBAN RESTAURANT,14825 BALLANTYNE VILLAGE WY,Charlotte,NC,,AZUCAR CUBAN RESTAURANT,,full_service,,full_service,0
AZUCAR CUBAN RESTAURANT,15906 N OLD STATESVILLE RD,Charlotte,NC,,AZUCAR CUBAN RESTAURANT,,full_service,,full_service,0
AZUL BALLANTYNE,14825 BALLANTYNE VILLAGE WY,Charlotte,NC,,AZUL BALLANTYNE,,other,other,other,0
AZUL TACOS AND BEER,2122 THRIFT RD,Charlotte,NC,,AZUL TACOS AND BEER,,mexican,,mexican,0
BABE & BUTCHER PARK ROAD,4325 PARK RD,Charlotte,NC,,BABE & BUTCHER PARK ROAD,,other,fast_food_burger,fast_food_burger,0
BACHI,2700 W MALLARD CREEK CHURCH RD,Charlotte,NC,,BACHI,,other,fast_food_chicken,fast_food_chicken,0
BAD DADDY'S BURGER BAR OF BALLANTYNE,15105 JOHN J DELANEY DR,Charlotte,NC,,BAD DADDY S BURGER BAR OF BALLANTYNE,,bar,,bar,0
BAD DADDY'S BURGER BAR,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,BAD DADDY S BURGER BAR,,bar,,bar,0
BAD DADDY'S BURGER BAR,8625 LINDHOLM DR,Charlotte,NC,,BAD DADDY S BURGER BAR,,bar,,bar,0
BAD DADDY`S BURGER BAR,1626 EAST BV,Charlotte,NC,,BAD DADDY S BURGER BAR,,bar,,bar,0
BAGEL BIN & DELI,9815 SAM FURR RD,Charlotte,NC,,BAGEL BIN & DELI,,fast_food_sandwich,,fast_food_sandwich,0
BAGEL BOYS,7107 WAVERLY WALK AV,Charlotte,NC,,BAGEL BOYS,,other,bakery_cafe,bakery_cafe,0
BAHN THAI,12206 COPPER WY,Charlotte,NC,,BAHN THAI,,asian_other,,asian_other,0
BAKERSFIELD EAST BLVD,1301 EAST BV,Charlotte,NC,,BAKERSFIELD EAST BLVD,,other,bakery_cafe,bakery_cafe,0
BAKU,4515 SHARON RD,Charlotte,NC,,BAKU,,other,bakery_cafe,bakery_cafe,0
BALEADA BAR & GRILL,6117 SOUTH BV,Charlotte,NC,,BALEADA BAR & GRILL,,bar,,bar,0
BALLANTYNE HOTEL AND LODGE,10000 BALLANTYNE COMMONS PY,Charlotte,NC,,BALLANTYNE HOTEL AND LODGE,,other,institutional,institutional,0
BAMBOO GARDEN,231 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,BAMBOO GARDEN,,other,asian_chinese,asian_chinese,0
BANG BANG BURGER - SOUTHEND,235 W TREMONT AV,Charlotte,NC,,BANG BANG BURGER - SOUTHEND,,fast_food_burger,,fast_food_burger,0
BANG BANG BURGERS,2001 E 7TH ST,Charlotte,NC,,BANG BANG BURGERS,,fast_food_burger,,fast_food_burger,0
BANH MI BROTHERS,230 E W T HARRIS BV,Charlotte,NC,,BANH MI BROTHERS,,other,asian_other,asian_other,0
BANK OF AMERICA 24TH FLOOR MARKET,620 S TRYON ST,Charlotte,NC,,BANK OF AMERICA 24TH FLOOR MARKET,,grocery_deli,,grocery_deli,0
BAOBAO AUTHENTIC CHINESE RESTAURANT,9715 SAM FURR RD,Charlotte,NC,,BAOBAO AUTHENTIC CHINESE RESTAURANT,,asian_chinese,,asian_chinese,0
BAODING,4722 SHARON RD,Charlotte,NC,,BAODING,,other,other,other,0
BAPS TEMPLE,4100 MARGARET WALLACE RD,Charlotte,NC,,BAPS TEMPLE,,other,institutional,institutional,0
BAR A VINS,3206 N DAVIDSON ST,Charlotte,NC,,BAR A VINS,,bar,,bar,0
BAR B Q KING,2900 WILKINSON BV,Charlotte,NC,,BAR B Q KING,,bar,,bar,0
BARCELONA WINE BAR,101 W WORTHINGTON AV,Charlotte,NC,,BARCELONA WINE BAR,,bar,,bar,0
BARCLAY AT SOUTHPARK,4801 BARCLAY DOWNS DR,Charlotte,NC,,BARCLAY AT SOUTHPARK,,bar,,bar,0
BARNES & NOBLE BOOKSELLERS #2254,11025 CAROLINA PLACE PY,Charlotte,NC,,BARNES & NOBLE BOOKSELLERS,,bar,,bar,0
BARNES & NOBLE BOOKSELLERS,4020 SHARON RD,Charlotte,NC,,BARNES & NOBLE BOOKSELLERS,,bar,,bar,0
BARNES & NOBLE CAFE #2812,3327 PINEVILLE-MATTHEWS RD,Charlotte,NC,,BARNES & NOBLE CAFE,,coffee_shop,,coffee_shop,0
BARNES & NOBLE CAFE,8725 TOWNLEY RD,Charlotte,NC,,BARNES & NOBLE CAFE,,coffee_shop,,coffee_shop,0
BARRINGTON`S,7822 FAIRVIEW RD,Charlotte,NC,,BARRINGTON S,,bar,,bar,0
BARTACO,16916 BIRKDALE COMMONS PY,Charlotte,NC,,BARTACO,,bar,,bar,0
BASIL THAI CUISINE,210 N CHURCH ST,Charlotte,NC,,BASIL THAI CUISINE,,asian_other,,asian_other,0
BB Q CHICKEN,8206 PROVIDENCE RD,Charlotte,NC,,BB Q CHICKEN,,fast_food_chicken,,fast_food_chicken,0
BE EM ASIAN KITCHEN,1848 GALLERIA BV,Charlotte,NC,,BE EM ASIAN KITCHEN,,full_service,,full_service,0
BEACH AND BOROUGH,1125 CHARLOTTETOWNE AV,Charlotte,NC,,BEACH AND BOROUGH,,other,other,other,0
BEAN SPROUTS CHARLOTTE,301 N TRYON ST,Charlotte,NC,,BEAN SPROUTS CHARLOTTE,,other,coffee_shop,coffee_shop,0
BEAN,3001 E INDEPENDENCE BV,Charlotte,NC,,BEAN,,other,coffee_shop,coffee_shop,0
BEAT THE BOMB,3638 TRYCLAN DR,Charlotte,NC,,BEAT THE BOMB,,other,food_truck,other,0
BEATRIX MARKET / WOW BAO,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,BEATRIX MARKET / WOW BAO,,grocery_deli,,grocery_deli,0
BEAUDEVIN,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,BEAUDEVIN,,other,other,other,0
BEDDER BEDDER & MOORE,3501 S TRYON ST,Charlotte,NC,,BEDDER BEDDER & MOORE,,other,other,other,0
BEEF & BOTTLE,4538 SOUTH BV,Charlotte,NC,,BEEF & BOTTLE,,other,fast_food_burger,fast_food_burger,0
"BELLA CIAO, THE",201 S TRYON  ST,Charlotte,NC,,BELLA CIAO,,other,other,other,0
BELLE ACRES COUNTRY CLUB,3025 SOUTH BV,Charlotte,NC,,BELLE ACRES COUNTRY CLUB,,other,institutional,institutional,0
BEN THANH VIETNAMESE RESTAURANT,1806 WINDSOR SQUARE DR,Charlotte,NC,,BEN THANH VIETNAMESE RESTAURANT,,asian_other,,asian_other,0
BENNY FERROVIAS,340 W TREMONT AV,Charlotte,NC,,BENNY FERROVIAS,,other,other,other,0
BENNY PENNELLO'S,2909 N DAVIDSON ST,Charlotte,NC,,BENNY PENNELLO S,,other,fast_food_burger,fast_food_burger,0
BENTLEYS RESTAURANT,4620 PIEDMONT ROW DR,Charlotte,NC,,BENTLEYS RESTAURANT,,full_service,,full_service,0
BERNARDIN'S RESTAURANT,435 S TRYON STREET,Charlotte,NC,,BERNARDIN S RESTAURANT,,full_service,,full_service,0
BEST WESTERN PLUS,2501 SARDIS RD N,Charlotte,NC,,BEST WESTERN PLUS,,other,institutional,institutional,0
BEST WESTERN PLUS,9825 LEITNER DR,Charlotte,NC,,BEST WESTERN PLUS,,other,institutional,institutional,0
BEST WOK II,1819 MATTHEWS TOWNSHIP PY,Charlotte,NC,,BEST WOK II,,asian_chinese,,asian_chinese,0
BEST WOK,1717 SARDIS RD N,Charlotte,NC,,BEST WOK,,asian_chinese,,asian_chinese,0
BIBIM KOREAN BISTRO,14027 CONLAN CR,Charlotte,NC,,BIBIM KOREAN BISTRO,,asian_other,,asian_other,0
BIG AIR TRAMPOLINE PARK,2408 SARDIS RD N,Charlotte,NC,,BIG AIR TRAMPOLINE PARK,,other,other,other,0
BIG AIR TRAMPOLINE PARK,8215 UNIVERSITY CITY BV,Charlotte,NC,,BIG AIR TRAMPOLINE PARK,,other,other,other,0
BIG APPLE DELI,201 W ARROWOOD RD,Charlotte,NC,,BIG APPLE DELI,,fast_food_sandwich,,fast_food_sandwich,0
BIG BEN PUB,1535 ELIZABETH AV,Charlotte,NC,,BIG BEN PUB,,bar,,bar,0
BIG BITEZ GRILL,20430 WEST CATAWBA AV,Charlotte,NC,,BIG BITEZ GRILL,,full_service,,full_service,0
BIG CHILL EVENT VENUE,911 E MOREHEAD ST,Charlotte,NC,,BIG CHILL EVENT VENUE,,other,other,other,0
BIG DAVES CHEESESTEAK- UNIVERSITY,8552 UNIVERSITY CITY BV,Charlotte,NC,,BIG DAVES CHEESESTEAK- UNIVERSITY,,coffee_shop,,coffee_shop,0
BIG VIEW DINER,16637 LANCASTER HY,Charlotte,NC,,BIG VIEW DINER,,full_service,,full_service,0
BIGGBY COFFEE STORE 792,10215 MCINTYRE RIDGE RD,Charlotte,NC,,BIGGBY COFFEE,,coffee_shop,,coffee_shop,0
BILLY GRAHAM EVANGELISTIC ASSOCIATION CAFE,4350 WESTMONT DR,Charlotte,NC,,BILLY GRAHAM EVANGELISTIC ASSOCIATION CAFE,,coffee_shop,,coffee_shop,0
BIN 110,19712 ONE NORMAN BV,Charlotte,NC,,BIN,,other,institutional,institutional,0
BINKI CAFE,9211 N TRYON ST,Charlotte,NC,,BINKI CAFE,,coffee_shop,,coffee_shop,0
BIRD PIZZERIA,510 E 15TH ST,Charlotte,NC,,BIRD PIZZERIA,,pizza,,pizza,0
BISCUIT BELLY,1949 E 7TH ST,Charlotte,NC,,BISCUIT BELLY,,other,bakery_cafe,bakery_cafe,0
BISCUITVILLE #202,3060 DERITA RD,Charlotte,NC,,BISCUITVILLE,,other,bakery_cafe,bakery_cafe,0
BISONTE PIZZA CO,710 W TRADE ST,Charlotte,NC,,BISONTE PIZZA,,pizza,,pizza,0
BISONTE PIZZA CO,8133 ARDREY KELL RD,Charlotte,NC,,BISONTE PIZZA,,pizza,,pizza,0
BISTRO SWEDISH MARKET,8300 IKEA BV,Charlotte,NC,,BISTRO SWEDISH MARKET,,grocery_deli,,grocery_deli,0
"BISTRO, THE",321 W WOODLAWN RD,Charlotte,NC,,BISTRO,,full_service,,full_service,0
"BISTRO, THE",6023 PARK SOUTH DR,Charlotte,NC,,BISTRO,,full_service,,full_service,0
BITE YOUR TONGUE,1121 BEATTIES FORD RD,Charlotte,NC,,BITE YOUR TONGUE,,other,fast_food_chicken,fast_food_chicken,0
BLACKFINN AMERIPUB,14825 BALLANTYNE VILLAGE WY,Charlotte,NC,,BLACKFINN AMERIPUB,,bar,,bar,0
BLANCHARD`S DELI,5721 CARMEL RD,Charlotte,NC,,BLANCHARD S DELI,,fast_food_sandwich,,fast_food_sandwich,0
BLASIAN ASIAN WAY,1801 N GRAHAM ST,Charlotte,NC,,BLASIAN ASIAN WAY,,other,asian_other,asian_other,0
BLAZE PIZZA,1750 CAMDEN RD,Charlotte,NC,,BLAZE PIZZA,,pizza,,pizza,0
BLAZE PIZZA,8948 J M KEYNES DR,Charlotte,NC,,BLAZE PIZZA,,pizza,,pizza,0
BLUE ORCHID SUSHI BAR AND ASIAN BISTRO,8170 S TRYON ST,Charlotte,NC,,BLUE ORCHID SUSHI BAR AND ASIAN BISTRO,,bar,,bar,0
"BLUE TAJ, THE",14815 BALLANTYNE VILLAGE WY,Charlotte,NC,,BLUE TAJ,,other,fast_food_burger,fast_food_burger,0
BOA MAIN KITCHEN #327,800 S MINT ST,Charlotte,NC,,BOA MAIN KITCHEN,,full_service,,full_service,0
BOARDWALK BILLY`S RAW BAR&RIBS,9005 J M KEYNES DR,Charlotte,NC,,BOARDWALK BILLY S RAW BAR&RIBS,,bar,,bar,0
BOARDWALK BILLY`S,1636 SARDIS RD N,Charlotte,NC,,BOARDWALK BILLY S,,other,fast_food_burger,fast_food_burger,0
BOATYARD LKN,18418 STATESVILLE RD,Charlotte,NC,,BOATYARD LKN,,other,seafood,seafood,0
BOB EVANS #362,9253 STATESVILLE RD,Charlotte,NC,,BOB EVANS,,other,fast_food_burger,fast_food_burger,0
BOB EVANS REST #335,16706 NORTHCROSS DR,Charlotte,NC,,BOB EVANS REST,,other,fast_food_burger,fast_food_burger,0
BOBA CAFE MINT HILL,3565 MATTHEWS-MINT HILL RD,Charlotte,NC,,BOBA CAFE MINT HILL,,coffee_shop,,coffee_shop,0
BOBBEE O'S BBQ,9401 STATESVILLE RD,Charlotte,NC,,BOBBEE O S BBQ,,bbq,,bbq,0
