premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,business_type_manual,ollama_category,ollama_confidence,ollama_reason,ollama_raw
ALEXANDER MICHAELS,401 W NINTH ST,Charlotte,NC,,ALEXANDER MICHAELS,,other,,other,0.0,No clear indication of food establishment,"{""category"":""other"",""confidence"":0.0,""reason"":""No clear indication of food establishment""}"
ALOFT CHARLOTTE AIRPORT,3928 MEMORIAL PY,Charlotte,NC,,ALOFT CHARLOTTE AIRPORT,,other,,institutional,1.0,hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel""}"
ALOFT CHARLOTTE BALLANTYNE,13139 BALLANTYNE CORPORATE PL,Charlotte,NC,,ALOFT CHARLOTTE BALLANTYNE,,other,,institutional,1.0,Hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Hotel""}"
AMC CAROLINA PAVILION 22,9541 SOUTH BV,Charlotte,NC,,AMC CAROLINA PAVILION,,other,,institutional,0.9,movie theater,"{""category"":""institutional"",""confidence"":0.9,""reason"":""movie theater""}"
AMC THEATERS 14 NORTHLAKE,7325 NORTHLAKE MALL DR,Charlotte,NC,,AMC THEATERS NORTHLAKE,,other,,institutional,1.0,Theatre venue,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Theatre venue""}"
AMELIES PARK RD,4321 PARK RD,Charlotte,NC,,AMELIES PARK RD,,other,,other,0.0,No clear indication of food establishment type,"{""category"":""other"",""confidence"":0.0,""reason"":""No clear indication of food establishment type""}"
AMERICAN AIRLINES TRAINING CENTER,4800 HANGAR RD,Charlotte,NC,,AMERICAN AIRLINES TRAINING CENTER,,other,,institutional,1.0,Training center for a large corporation,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Training center for a large corporation""}"
AMERICAN EXPRESS CENTURION LOUNGE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,AMERICAN EXPRESS CENTURION LOUNGE,,other,,other,0.0,not a typical food establishment,"{""category"":""other"",""confidence"":0.0,""reason"":""not a typical food establishment""}"
AMF UNIVERSITY LANES,5900 N TRYON ST,Charlotte,NC,,AMF UNIVERSITY LANES,,other,,institutional,1.0,"AMF University Lanes is a facility used for recreational purposes, likely affiliated with a university.","{""category"":""institutional"",""confidence"":1.0,""reason"":""AMF University Lanes is a facility used for recreational purposes, likely affiliated with a university.""}"
ANGELINES & CATERING,303 S CHURCH ST,Charlotte,NC,,ANGELINES & CATERING,,other,,other,0.0,short reason,"{""category"":""other"",""confidence"":0.0,""reason"":""short reason""}"
ANGRY ALES,1518 MONTFORD DR,Charlotte,NC,,ANGRY ALES,,other,,bar,1.0,establishment name and location suggest a bar,"{""category"":""bar"",""confidence"":1.0,""reason"":""establishment name and location suggest a bar""}"
ANJEHS AFRICAN & CARIBBEAN CUISINE,6434 W SUGAR CREEK RD,Charlotte,NC,,ANJEHS AFRICAN & CARIBBEAN CUISINE,,other,,other,0.8,African and Caribbean cuisine not listed in allowed categories,"{""category"":""other"",""confidence"":0.8,""reason"":""African and Caribbean cuisine not listed in allowed categories""}"
ANTOJITOS CATRACHOS,6404 ALBEMARLE RD,Charlotte,NC,,ANTOJITOS CATRACHOS,,other,,fast_food_mexican,1.0,Typical Mexican fast food establishment,"{""category"":""fast_food_mexican"",""confidence"":1.0,""reason"":""Typical Mexican fast food establishment""}"
ANTOJOS LOCOS,5534 ALBEMARLE RD,Charlotte,NC,,ANTOJOS LOCOS,,other,,fast_food_mexican,1.0,Typical Mexican fast food establishment,"{""category"":""fast_food_mexican"",""confidence"":1.0,""reason"":""Typical Mexican fast food establishment""}"
APPLEBEE'S #1096,10921 CAROLINA PLACE PY,Charlotte,NC,,APPLEBEE S,,other,,fast_food_chicken,0.9,Typical fast food chain with chicken options,"{""category"":""fast_food_chicken"",""confidence"":0.9,""reason"":""Typical fast food chain with chicken options""}"
APPLEBEES #1095,9616 E INDEPENDENCE BV,Charlotte,NC,,APPLEBEES,,other,,fast_food_burger,1.0,Typical fast food chain with burger options,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food chain with burger options""}"
AQUA E VINO,4219 PROVIDENCE RD,Charlotte,NC,,AQUA E VINO,,other,,other,0.8,"Restaurant or bar with a unique name, no clear indication of cuisine type","{""category"":""other"",""confidence"":0.8,""reason"":""Restaurant or bar with a unique name, no clear indication of cuisine type""}"
ARAMARK AT CORNING CHARLOTTE,4200 CORNING PL,Charlotte,NC,,ARAMARK AT CORNING CHARLOTTE,,other,,other,1.0,school/hospital/venue/cafeteria,"{""category"":""institution"",""confidence"":1.0,""reason"":""school/hospital/venue/cafeteria""}"
ARBOL EATERY,227 W TRADE ST,Charlotte,NC,,ARBOL EATERY,,other,,other,0.8,"No clear indication of cuisine type, but 'eatery' suggests a casual dining experience","{""category"":""other"",""confidence"":0.8,""reason"":""No clear indication of cuisine type, but 'eatery' suggests a casual dining experience""}"
ARBY'S #5527,597 N POLK ST,Charlotte,NC,,ARBY S,,other,,fast_food_burger,1.0,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger joint""}"
ARBY'S #8798,5226 E INDEPENDENCE BV,Charlotte,NC,,ARBY S,,other,,fast_food_burger,1.0,Typical fast food burger establishment,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger establishment""}"
ARBYS #8076 REA FARMS,9923 SANDY ROCK PL,Charlotte,NC,,ARBYS REA FARMS,,other,,fast_food_burger,1.0,Typical fast food burger chain,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger chain""}"
ARBYS #8573,18240 STATESVILLE RD,Charlotte,NC,,ARBYS,,other,,fast_food_burger,1.0,Typical fast food burger chain,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger chain""}"
ARBYS #8718,12936 ALBEMARLE RD,Charlotte,NC,,ARBYS,,other,,fast_food_burger,1.0,Typical fast food burger chain,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger chain""}"
ARBY`S #7023,7008 W W T HARRIS BV,Charlotte,NC,,ARBY S,,other,,fast_food_burger,1.0,Typical fast food burger establishment,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger establishment""}"
AROMAS DE MI PUEBLO,9107 S TRYON ST,Charlotte,NC,,AROMAS DE MI PUEBLO,,other,,mexican,1.0,"normalized name contains 'AROMAS DE MI PUEBLO', suggesting a Mexican restaurant","{""category"":""mexican"",""confidence"":1.0,""reason"":""normalized name contains 'AROMAS DE MI PUEBLO', suggesting a Mexican restaurant""}"
AROOJI`S WINE ROOM,5349 BALLANTYNE COMMONS PY,Charlotte,NC,,AROOJI S WINE ROOM,,other,,other,1.0,wine focused establishment,"{""category"":""wine_bar"",""confidence"":1.0,""reason"":""wine focused establishment""}"
ARTHUR'S/SOUTHPARK,4400 SHARON RD,Charlotte,NC,,ARTHUR S/SOUTHPARK,,other,,fast_food_burger,1.0,"Establishment name contains 'Arthur's' and 'Southpark', suggesting a fast food burger chain.","{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Establishment name contains 'Arthur's' and 'Southpark', suggesting a fast food burger chain.""}"
"ASBURY, THE",235 N TRYON ST,Charlotte,NC,,ASBURY,,other,,bar,1.0,Establishment name and location suggest a bar or pub.,"{""category"":""bar"",""confidence"":1.0,""reason"":""Establishment name and location suggest a bar or pub.""}"
ASIAN 1,16646 HAWFIELD WAY DR,Charlotte,NC,,ASIAN,,other,,asian_other,0.5,Uncertain due to limited information,"{""category"":""asian_other"",""confidence"":0.5,""reason"":""Uncertain due to limited information""}"
ASIAN GARDEN,2925 E W T HARRIS BV,Charlotte,NC,,ASIAN GARDEN,,other,,asian_chinese,0.8,Typical Chinese restaurant name and location,"{""category"":""asian_chinese"",""confidence"":0.8,""reason"":""Typical Chinese restaurant name and location""}"
ATRIUM HEALTH BEHAVIORAL HEALTH CHARLOTTE,501 BILLINGSLEY RD,Charlotte,NC,,ATRIUM HEALTH BEHAVIORAL HEALTH CHARLOTTE,,other,,other,1.0,Healthcare facility,"{""category"":""institution"",""confidence"":1.0,""reason"":""Healthcare facility""}"
ATRIUM HEALTH PINEVILLE,10628 PARK RD,Charlotte,NC,,ATRIUM HEALTH PINEVILLE,,other,,institutional,1.0,Healthcare facility,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Healthcare facility""}"
ATRIUM HEALTH UNIVERSITY,8800 N TRYON ST,Charlotte,NC,,ATRIUM HEALTH UNIVERSITY,,other,,institutional,1.0,University,"{""category"":""institutional"",""confidence"":1.0,""reason"":""University""}"
ATRIUM PINEVILLE REHABILITATION,10648 PARK RD,Charlotte,NC,,ATRIUM PINEVILLE REHABILITATION,,other,,institutional,1.0,Healthcare facility,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Healthcare facility""}"
AUNTIE ANNES & CINNABON,5506 NEW FASHION WY,Charlotte,NC,,AUNTIE ANNES & CINNABON,,other,,bakery_cafe,1.0,Cinnabon is a bakery and dessert shop,"{""category"":""bakery_cafe"",""confidence"":1.0,""reason"":""Cinnabon is a bakery and dessert shop""}"
AUNTIE ANNES UNCC,9201 UNIVERSITY CITY BV,Charlotte,NC,,AUNTIE ANNES UNCC,,other,,fast_food_burger,0.9,Typical fast food chain with burger options,"{""category"":""fast_food_burger"",""confidence"":0.9,""reason"":""Typical fast food chain with burger options""}"
AZUL BALLANTYNE,14825 BALLANTYNE VILLAGE WY,Charlotte,NC,,AZUL BALLANTYNE,,other,,other,0.0,No clear indication of food establishment type,"{""category"":""other"",""confidence"":0.0,""reason"":""No clear indication of food establishment type""}"
BABE & BUTCHER PARK ROAD,4325 PARK RD,Charlotte,NC,,BABE & BUTCHER PARK ROAD,,other,,fast_food_burger,0.8,High likelihood due to name and location,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""High likelihood due to name and location""}"
BACHI,2700 W MALLARD CREEK CHURCH RD,Charlotte,NC,,BACHI,,other,,fast_food_chicken,1.0,BACHI is a chicken fast food restaurant chain,"{""category"":""fast_food_chicken"",""confidence"":1.0,""reason"":""BACHI is a chicken fast food restaurant chain""}"
BAGEL BOYS,7107 WAVERLY WALK AV,Charlotte,NC,,BAGEL BOYS,,other,,bakery_cafe,1.0,Bakery and cafe focused establishment,"{""category"":""bakery_cafe"",""confidence"":1.0,""reason"":""Bakery and cafe focused establishment""}"
BAKERSFIELD EAST BLVD,1301 EAST BV,Charlotte,NC,,BAKERSFIELD EAST BLVD,,other,,bakery_cafe,0.8,"BAKERSFIELD EAST BLVD suggests a bakery or cafe, and the address is listed as a business location","{""category"":""bakery_cafe"",""confidence"":0.8,""reason"":""BAKERSFIELD EAST BLVD suggests a bakery or cafe, and the address is listed as a business location""}"
BAKU,4515 SHARON RD,Charlotte,NC,,BAKU,,other,,bakery_cafe,0.8,BAKU is a bakery and cafe,"{""category"":""bakery_cafe"",""confidence"":0.8,""reason"":""BAKU is a bakery and cafe""}"
BALLANTYNE HOTEL AND LODGE,10000 BALLANTYNE COMMONS PY,Charlotte,NC,,BALLANTYNE HOTEL AND LODGE,,other,,institutional,1.0,hotel/hotel/lodge,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel/hotel/lodge""}"
BAMBOO GARDEN,231 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,BAMBOO GARDEN,,other,,asian_chinese,0.8,Chinese restaurant name and location,"{""category"":""asian_chinese"",""confidence"":0.8,""reason"":""Chinese restaurant name and location""}"
BANH MI BROTHERS,230 E W T HARRIS BV,Charlotte,NC,,BANH MI BROTHERS,,other,,asian_other,0.9,"Vietnamese cuisine, specifically banh mi","{""category"":""asian_other"",""confidence"":0.9,""reason"":""Vietnamese cuisine, specifically banh mi""}"
BAODING,4722 SHARON RD,Charlotte,NC,,BAODING,,other,,other,1.0,No specific category available,"{""category"":""other"",""confidence"":1.0,""reason"":""No specific category available""}"
BAPS TEMPLE,4100 MARGARET WALLACE RD,Charlotte,NC,,BAPS TEMPLE,,other,,institutional,1.0,temple,"{""category"":""institutional"",""confidence"":1.0,""reason"":""temple""}"
BEACH AND BOROUGH,1125 CHARLOTTETOWNE AV,Charlotte,NC,,BEACH AND BOROUGH,,other,,other,0.0,short reason,"{""category"":""other"",""confidence"":0.0,""reason"":""short reason""}"
BEAN,3001 E INDEPENDENCE BV,Charlotte,NC,,BEAN,,other,,coffee_shop,0.5,contains coffee-related keywords in the name,"{""category"":""coffee_shop"",""confidence"":0.5,""reason"":""contains coffee-related keywords in the name""}"
BEAN SPROUTS CHARLOTTE,301 N TRYON ST,Charlotte,NC,,BEAN SPROUTS CHARLOTTE,,other,,coffee_shop,0.8,"contains keywords 'bean' and 'sprouts', suggesting a coffee shop or cafe","{""category"":""coffee_shop"",""confidence"":0.8,""reason"":""contains keywords 'bean' and 'sprouts', suggesting a coffee shop or cafe""}"
BEAT THE BOMB,3638 TRYCLAN DR,Charlotte,NC,,BEAT THE BOMB,,other,,food_truck,1.0,Establishment name suggests a food truck business,"{""category"":""food_truck"",""confidence"":1.0,""reason"":""Establishment name suggests a food truck business""}"
BEAUDEVIN,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,BEAUDEVIN,,other,,other,0.5,No clear indication of food type,"{""category"":""other"",""confidence"":0.5,""reason"":""No clear indication of food type""}"
BEDDER BEDDER & MOORE,3501 S TRYON ST,Charlotte,NC,,BEDDER BEDDER & MOORE,,other,,other,0.8,Unknown establishment type,"{""category"":""other"",""confidence"":0.8,""reason"":""Unknown establishment type""}"
BEEF & BOTTLE,4538 SOUTH BV,Charlotte,NC,,BEEF & BOTTLE,,other,,fast_food_burger,1.0,Typical fast food establishment with burger options,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food establishment with burger options""}"
"BELLA CIAO, THE",201 S TRYON  ST,Charlotte,NC,,BELLA CIAO,,other,,other,0.8,Italian restaurant name and location,"{""category"":""italian"", ""confidence"":0.8, ""reason"":""Italian restaurant name and location""}"
BELLE ACRES COUNTRY CLUB,3025 SOUTH BV,Charlotte,NC,,BELLE ACRES COUNTRY CLUB,,other,,institutional,1.0,venue,"{""category"":""institutional"",""confidence"":1.0,""reason"":""venue""}"
BENNY FERROVIAS,340 W TREMONT AV,Charlotte,NC,,BENNY FERROVIAS,,other,,other,0.0,No clear indication of food establishment type,"{""category"":""other"",""confidence"":0.0,""reason"":""No clear indication of food establishment type""}"
BENNY PENNELLO'S,2909 N DAVIDSON ST,Charlotte,NC,,BENNY PENNELLO S,,other,,fast_food_burger,0.8,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical fast food burger joint""}"
BEST WESTERN PLUS,2501 SARDIS RD N,Charlotte,NC,,BEST WESTERN PLUS,,other,,institutional,0.9,Hotel,"{""category"":""institutional"",""confidence"":0.9,""reason"":""Hotel""}"
BEST WESTERN PLUS,9825 LEITNER DR,Charlotte,NC,,BEST WESTERN PLUS,,other,,institutional,1.0,Hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Hotel""}"
BIG AIR TRAMPOLINE PARK,2408 SARDIS RD N,Charlotte,NC,,BIG AIR TRAMPOLINE PARK,,other,,other,0.9,"not a food establishment, but rather an entertainment venue","{""category"":""other"",""confidence"":0.9,""reason"":""not a food establishment, but rather an entertainment venue""}"
BIG AIR TRAMPOLINE PARK,8215 UNIVERSITY CITY BV,Charlotte,NC,,BIG AIR TRAMPOLINE PARK,,other,,other,1.0,not a food establishment,"{""category"":""other"",""confidence"":1.0,""reason"":""not a food establishment""}"
BIG CHILL EVENT VENUE,911 E MOREHEAD ST,Charlotte,NC,,BIG CHILL EVENT VENUE,,other,,other,1.0,venue,"{""category"":""institution"",""confidence"":1.0,""reason"":""venue""}"
BIN 110,19712 ONE NORMAN BV,Charlotte,NC,,BIN,,other,,institutional,1.0,school,"{""category"":""institutional"",""confidence"":1.0,""reason"":""school""}"
BISCUIT BELLY,1949 E 7TH ST,Charlotte,NC,,BISCUIT BELLY,,other,,bakery_cafe,0.8,Bakery and cafe focused establishment,"{""category"":""bakery_cafe"",""confidence"":0.8,""reason"":""Bakery and cafe focused establishment""}"
BISCUITVILLE #202,3060 DERITA RD,Charlotte,NC,,BISCUITVILLE,,other,,bakery_cafe,1.0,BISCUITVILLE is a bakery and cafe chain,"{""category"":""bakery_cafe"",""confidence"":1.0,""reason"":""BISCUITVILLE is a bakery and cafe chain""}"
BITE YOUR TONGUE,1121 BEATTIES FORD RD,Charlotte,NC,,BITE YOUR TONGUE,,other,,fast_food_chicken,0.9,Chicken focused restaurant,"{""category"":""fast_food_chicken"",""confidence"":0.9,""reason"":""Chicken focused restaurant""}"
BLASIAN ASIAN WAY,1801 N GRAHAM ST,Charlotte,NC,,BLASIAN ASIAN WAY,,other,,asian_other,0.9,"Lack of clear Asian cuisine type, but 'Asian' is present in the name","{""category"":""asian_other"",""confidence"":0.9,""reason"":""Lack of clear Asian cuisine type, but 'Asian' is present in the name""}"
"BLUE TAJ, THE",14815 BALLANTYNE VILLAGE WY,Charlotte,NC,,BLUE TAJ,,other,,fast_food_burger,0.8,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical fast food burger joint""}"
BOARDWALK BILLY`S,1636 SARDIS RD N,Charlotte,NC,,BOARDWALK BILLY S,,other,,fast_food_burger,0.9,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":0.9,""reason"":""Typical fast food burger joint""}"
BOATYARD LKN,18418 STATESVILLE RD,Charlotte,NC,,BOATYARD LKN,,other,,seafood,0.8,establishment name suggests seafood focus,"{""category"":""seafood"",""confidence"":0.8,""reason"":""establishment name suggests seafood focus""}"
BOB EVANS #362,9253 STATESVILLE RD,Charlotte,NC,,BOB EVANS,,other,,fast_food_burger,1.0,Typical fast food chain with burger options,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food chain with burger options""}"
BOB EVANS REST #335,16706 NORTHCROSS DR,Charlotte,NC,,BOB EVANS REST,,other,,fast_food_burger,1.0,Typical fast food restaurant chain,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food restaurant chain""}"
BOHEMIAN,1319 PECAN AV,Charlotte,NC,,BOHEMIAN,,other,,other,0.8,"No clear indication of food type, may be a bar or restaurant with non-food activities","{""category"":""other"",""confidence"":0.8,""reason"":""No clear indication of food type, may be a bar or restaurant with non-food activities""}"
BOILING POT/CHINA GOGO,7010 SMITH CORNERS BV,Charlotte,NC,,BOILING POT/CHINA GOGO,,other,,asian_chinese,1.0,Chinese restaurant,"{""category"":""asian_chinese"",""confidence"":1.0,""reason"":""Chinese restaurant""}"
BONCHON,8318 PINEVILLE-MATTHEWS RD,Charlotte,NC,,BONCHON,,other,,fast_food_chicken,0.9,BONCHON is a fast-food chain specializing in fried chicken,"{""category"":""fast_food_chicken"",""confidence"":0.9,""reason"":""BONCHON is a fast-food chain specializing in fried chicken""}"
BONCHON CHARLOTTE - WOODLAWN,1600 E WOODLAWN RD,Charlotte,NC,,BONCHON CHARLOTTE - WOODLAWN,,other,,fast_food_chicken,1.0,BONCHON is a fast food chain specializing in fried chicken,"{""category"":""fast_food_chicken"",""confidence"":1.0,""reason"":""BONCHON is a fast food chain specializing in fried chicken""}"
BOSSY BEULAHS BALLANTYNE,15110 BOWL ST,Charlotte,NC,,BOSSY BEULAHS BALLANTYNE,,other,,other,0.0,No clear indication of food establishment type,"{""category"":""other"",""confidence"":0.0,""reason"":""No clear indication of food establishment type""}"
BOTIWALLA OPTIMIST,1115 N BREVARD ST,Charlotte,NC,,BOTIWALLA OPTIMIST,,other,,other,0.0,No clear indication of food establishment type,"{""category"":""other"",""confidence"":0.0,""reason"":""No clear indication of food establishment type""}"
BOWLERO,210 E TRADE ST,Charlotte,NC,,BOWLERO,,other,,sports_bar,1.0,BOWLERO is a bowling alley and sports bar,"{""category"":""sports_bar"",""confidence"":1.0,""reason"":""BOWLERO is a bowling alley and sports bar""}"
BOWLERO SOUTH BLVD,4501 SOUTH BV,Charlotte,NC,,BOWLERO SOUTH BLVD,,other,,sports_bar,0.8,Bowlero is a sports bar and entertainment venue,"{""category"":""sports_bar"",""confidence"":0.8,""reason"":""Bowlero is a sports bar and entertainment venue""}"
BRADSHAW SOCIAL HOUSE,8440 REA RD,Charlotte,NC,,BRADSHAW SOCIAL HOUSE,,other,,other,1.0,No clear indication of food type,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food type""}"
BRAZILIAN EATS & TREATS,16049 JOHNSTON RD,Charlotte,NC,,BRAZILIAN EATS & TREATS,,other,,latin_american,0.8,Brazilian cuisine is a part of Latin American cuisine,"{""category"":""latin_american"",""confidence"":0.8,""reason"":""Brazilian cuisine is a part of Latin American cuisine""}"
BREWERS AT 4001 YANCEY,4001 YANCEY RD,Charlotte,NC,,BREWERS AT YANCEY,,other,,bar,0.8,"contains ""BREWERS"" and is a bar","{""category"":""bar"",""confidence"":0.8,""reason"":""contains \""BREWERS\"" and is a bar""}"
BROOKLYN PICKLES,1021 MOREHEAD MEDICAL DR,Charlotte,NC,,BROOKLYN PICKLES,,other,,fast_food_burger,0.9,Typical fast food establishment with burger options,"{""category"":""fast_food_burger"",""confidence"":0.9,""reason"":""Typical fast food establishment with burger options""}"
BROWN BAG PIPER STATION,5231 PIPER STATION DR,Charlotte,NC,,BROWN BAG PIPER STATION,,other,,other,0.0,short reason,"{""category"":""other"",""confidence"":0.0,""reason"":""short reason""}"
BRUEGGERS #077-672,8706 PINEVILLE-MATTHEWS RD,Charlotte,NC,,BRUEGGERS -,,other,,fast_food_burger,1.0,Typical burger joint with a standardized name and address pattern,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical burger joint with a standardized name and address pattern""}"
BRUEGGERS BAGEL #193,106 S SHARON AMITY RD,Charlotte,NC,,BRUEGGERS BAGEL,,other,,bakery_cafe,1.0,bagel establishment,"{""category"":""bakery_cafe"",""confidence"":1.0,""reason"":""bagel establishment""}"
BUHO AT GRAND BOHEMIAN,201 W TRADE ST,Charlotte,NC,,BUHO AT GRAND BOHEMIAN,,other,,other,0.8,"Unique establishment type, not clearly categorized under any specific food category","{""category"":""other"",""confidence"":0.8,""reason"":""Unique establishment type, not clearly categorized under any specific food category""}"
BUONA VITA,3419 TORINGDON WY,Charlotte,NC,,BUONA VITA,,other,,other,0.8,Italian cuisine is commonly associated with the name Buona Vita,"{""category"":""italian"", ""confidence"":0.8, ""reason"":""Italian cuisine is commonly associated with the name Buona Vita""}"
"BUTLERS PANTRY, THE",274 S SHARON AMITY RD,Charlotte,NC,,BUTLERS PANTRY,,other,,bakery_cafe,0.9,Establishment name suggests bakery and cafe services,"{""category"":""bakery_cafe"",""confidence"":0.9,""reason"":""Establishment name suggests bakery and cafe services""}"
BYTES,900 W TRADE ST,Charlotte,NC,,BYTES,,other,,food_truck,1.0,Unknown,"{""category"":""food_truck"",""confidence"":1.0,""reason"":""Unknown""}"
